96	242	3	88250949
86	302	3	8977742
22	377		8788876
244	5	2	880606923
66	346		886397596
298	474	4	88482806
5	265	2	887488
253	465	5	89628467
305	45	3	88632487
6	86	3	88360303
62	257	2	879372434
286	04	5	8797825
200	222	5	876042340
20	40	3	89035994
224	29	3	88804457
303	785	3	87948538
22	387	5	879270459
94	274	2	879539794
29	042	4	874834944
234	84	2	892079237
9	392	4	8867684
67	486	4	892738452
299	44	4	87788320
29	8	2	874833878
308		4	887736532
95	546	2	87996566
38	95	5	892430094
02	768	2	883748450
63	277	4	87574740
60	234	5	8768685
50	246	3	877052329
30	98	4	882075827
225	93	4	879539727
290	88	4	88073963
97	94	3	884238860
57	274	4	886890835
8	08		878962623
278	603	5	89295330
276	796		87479932
7	32	4	89350932
0	6	4	877888877
284	304	4	885329322
20	979	2	8844233
276	564	3	87479805
287	327	5	87533396
246	20	5	88492594
242	37	5	8797496
249	24	5	8796494
99	4	5	88659097
78	332	3	882823437
25	00	4	88627884
8	432	2	8765353
260	322	4	89068898
25	8	5	88585345
59	96	5	888205088
72	679	2	88003764
87	384	4	87987727
290	43	5	880474293
42	423	5	8807687
292	55	4	8803977
5	20	3	887009
20	288		879667584
20	29	4	8842673
3	526	3	8824053
246	99	4	884920949
38	26	5	879024232
67	232		89273834
60	427	5	883326620
57	304	5	88369858
223	274	4	89550094
89	52	4	893277702
243	5	3	879987440
92	049		89025826
246	46	3	884923047
94	65	4	879546723
24	690	2	887249482
78	248	4	882823954
254	444	3	886475558
293	5	3	888906576
27	229	5	884364867
225	237	5	879539643
299	229	3	87892429
225	480	5	879540748
276	54	3	87479025
29	44	5	87483509
222	366	4	8788338
267	58	5	87897773
42	403	3	8808684
		4	89903862
95	625	4	88895442
8	338	4	87936873
62	25	4	877635573
87	06	4	87987694
279	54	5	87529629
45	275	2	885557505
9	53	5	8747898
62	498	4	879373848
62	382	3	879375537
28	209	4	889624
35	23	4	879857765
32	294	3	883709863
90	382	5	89383835
286	208	4	87753942
293	685	3	88890570
26	44	4	880234639
66	328	5	886397722
250	496	4	878090499
27	32	5	885848672
60	74	5	876860807
265	8	4	87532074
98	498	3	884207492
42	96	5	880778
68	5	5	884288058
0	307	4	886987260
58	44	4	884304936
90	648	4	89384754
27	346	4	885844430
62	2	3	879373460
279	832	3	88375854
237	54	4	87937664
94	789	4	89720887
28	485	3	879966895
298	37	4	88482806
44	95	5	878347874
264	200	5	88622352
94	385	2	879524643
72	95	5	880037702
222	750	5	8838520
250	264	3	87808982
4	265	3	890687042
224	245	3	88808226
82	35	3	878769629
262	47	4	8797970
293	47	3	888904884
26	658	3	880245029
250	40	3	878092059
59	23	5	888205300
286	379	5	87753377
244	85	4	88060585
7	479	4	8935200
74	368		886434402
87	274	4	879876734
94	2	2	87955380
82	34	2	88474402
3	836	2	88239746
3	272	4	884538403
244	756	2	88060557
305	427	5	886323090
95	787	2	888954930
43	4	2	883955745
299	955	4	889502823
57	49	3	883698454
84	405	3	883452363
269	504	4	89449922
299		3	87787884
94	466	4	879525876
60	35	4	876860807
99	268	3	885678247
0	486	4	877886846
259	7	4	874724988
85	427	3	879456350
303	99	4	879467295
23	273	5	878870987
2	54	3	89387947
90	98	5	89383204
49	559	2	888067405
42	794	3	8808425
55	323	2	8793726
68	7	4	876973939
72	77	4	875537965
9	4	4	88542840
268	23	4	87574436
5	2	3	875636053
305	7	2	886324028
44	294	4	88362356
43	37	4	875975656
279	336		875298353
80	466	5	8874070
254	64	4	886472768
298	28	3	88483336
279	240		89274404
66	298	4	88360324
8	443	3	8803093
268	035	2	87554274
99	79	4	88568038
3	98	4	88550
26	258	3	89347949
7	455	4	89353086
222	755	4	8788348
200	673	5	88428554
9	328	4	87692393
23	72	5	878955442
276	322	3	874786392
94	27	3	89723086
30	379	4	87580662
38	328	4	892428688
60	79	3	876857977
293	267	3	888906966
26	930	2	89385985
30	26	4	87526545
92	079	3	886443455
256	452	4	88264999
	6	4	878542420
72	48	4	88003678
56	755	3	89290207
3	360	4	88240926
5	405	2	879455957
92	77	3	875654637
207	476	2	884386343
292	74	5	880548
232	483	5	888549622
25	748	2	88627275
224	26	3	8880453
8	220	4	878962392
259	255	4	87472470
305	47	4	886323648
52	280	3	882922806
6	202	5	8970769
48	408	5	87739908
25	235	2	892838559
97	228	5	884238860
58	098	4	884304936
83	234	4	887665548
90	347	4	8938339
272	78	5	8794553
94	8	3	87952396
25	478	4	879454628
0	688		886987605
299	4	4	877877775
5	0	5	87952492
269	27	4	8944665
6	4	5	883599249
54	06	3	880937882
303	69	5	879467542
6	944		87772722
